Gene	C3L-00017	C3L-00102	C3L-00277	C3L-00395	C3L-00589	C3L-00599	C3L-00622	C3L-00625	C3L-00640	C3L-00819	C3L-00881	C3L-00928	C3L-01031	C3L-01036	C3L-01051	C3L-01052	C3L-01053	C3L-01054	C3L-01328	C3L-01453	C3L-01598	C3L-01637	C3L-01689	C3L-01703	C3L-01971	C3L-02112	C3L-02115	C3L-02116	C3L-02463	C3L-02606	C3L-02610	C3L-02613	C3N-00198	C3N-00249	C3N-00436	C3N-00512	C3N-00513	C3N-00514	C3N-00517	C3N-00518	C3N-00954	C3N-00957	C3N-01011	C3N-01997	C3N-01998
ABHD16A					15.098649386769559		15.866263659984824	16.443882032459875		15.491188897997796		16.294098077848986	15.77809349643769		15.478041029097406	15.824198782049624			14.543236550381089		16.118339161051775	15.231318122306234	16.85537716908735	14.728440427038597	16.50659452451318	14.811023962932627	15.737686516210715	15.88187424381905		15.197862416990892	15.398521760455946	15.842629001225529		15.736549370501582	14.934911310510099	16.052286568083602	15.816524293215675	15.867345588037262	16.02074114904122		13.236085072957714	15.726186622830367			
ABI1	16.938863461745697	16.393182033057112	15.628945464268197	17.114539599355926	15.7475515454391	16.735727572520943	15.627326253890374	15.398095655048516	16.56930835134456	16.032730383835286	14.698432131953824	15.324270907237052	16.836443540980344	17.482369382028136	15.606116474572065	16.083733721710775	15.92970179363778		14.198172118733178	16.956025488561327	16.003918397976346	14.73243518539596	16.194453795492574	16.479154414497437	15.743260387046606	16.521446723403766	15.76345010531923	16.023118044410907	16.36649024987408	15.006660339275284	15.09358564172665	16.339764377662753	16.940325764396967	15.183281268273506	16.281388441001937	16.818257759672026	16.827887861351883	16.10945288980229	15.803231120892347	16.520878751900185	16.36065376052853	15.938779468180961		16.11148921358694	15.541337699041058
ABI2				12.970726715678436		13.833898843462375			14.071957024963906	14.733121564158411		12.886068177518617			14.025946623692292				13.788947437134512		12.414057257851454		14.17264835412792					12.195619271566976				13.245325796303005	14.155965586496782			12.930985418585768			13.435341181544525	14.008503708180555		11.986484363559322			13.038886187439207
ABI3		15.808073916390661	12.672428264005394	16.56022763266395	14.242196162544563	16.690805196941486	14.407075398405631	14.736653724450568	15.462581891804643	15.445260294959887		14.854067701698959		14.230208375672365	15.521324393696238	14.828419329269643	14.64183833672977		15.028566415461935	16.494469207343077	14.6074352530484	15.277067212728284	15.557377356506821	15.460975410197332		15.327138196026006		13.212273143333913	15.544155282012504	15.45188085891237	15.148153589553383	15.331766577871443	15.064016387177443		15.094260695762907	13.373963060370262	13.842212720079424	14.811827621782538	15.281510119080503	15.086987905773048	15.216200367294762	14.24404788174992	14.455664739698546	14.312542422958426	14.891708622145327
ABI3BP	18.310968470626314	17.333084054001016	16.043016073823672	18.27065945232865	17.808144785995324	16.163361225755523	17.502606056634164	17.600461574828135	19.537721733910768	19.399084565644735	15.976339866697906	15.615036089167432	15.14530947273777	16.643375648277626	17.36228300053158	17.565690210597914	17.204216433317878	17.32608539670372	18.222650309641917	15.9927197426146	17.53847088256805	17.620198888174798	17.52623479687696	18.7218879505911	17.79108636690995	17.96648416184273	17.560739576222137	15.301612930681793	17.289995699224605	17.90443843382383	18.649104109026208	16.875813409414054	20.200187833224724		18.27579045890183	16.624833709595006	17.222687346239134	17.068694882934963	17.585124659186388	19.262774212551367	17.314059767877986	15.638267027773665	18.25047002088295	15.254082984892035	19.425123617245628
ABL1					12.354724045252974			12.301333309795258		12.863966139870598		12.430354041188798			12.50619115577518				12.806404115046398		12.246543002703673	11.20848843171341	12.119951247323696	14.168291034026574				11.881748317169302		13.244949245049488	11.805598253134914	11.076602302860794		11.84290037156688			12.203573444223206		12.236953554178463	11.725456278772684		12.375495928323927			
ABLIM1	15.723377325732656	16.65618295573724	16.1229491060501	14.524268546253943	14.354418697563412	14.690262800320431	16.077266477544683	15.319601736773606	15.16989009803627	16.609887249986606	16.176161286957335	15.427590195424974	15.093494129957902	15.693361463490536	15.87043380386961	15.911461638572602	16.51765668153387	17.2540028770401	16.002363224141387	14.77684842722659	15.678878270516309	16.712623729661356	14.862357726298683	15.98657015544074	16.222635468323514	15.014832275056632	16.192025906631695	15.537187437321666	15.012771012253344	16.429544652861424	16.138649601635258	15.380849069415957	17.37628784046445	16.460525022891275	16.303026141204818	15.90451345087908	16.21597413730379	16.157890969035716	15.686085572208748	16.548597560548306	16.27322500733322	15.647312209285385	17.26917276394903	15.44670918869987	16.402204070639993
ABLIM3				15.192004998249805	10.565883804079704		11.41233941768779		8.916569052505329											12.218272956438732			11.185671413497522	13.71705592645889		13.412418552915614					11.1849982884961	12.714554033255265	14.790744217693899							12.675855676866457	12.22002149891413				
ABR	14.32168905730209	15.166152600000531		16.105570170786287	15.789026827280813		15.576349519704648	15.546166726021424	15.731922181438733	15.828849110626647					15.537100751889783	15.47077671567708	16.933033684214482		15.5330967860176	15.042309803066345	15.128838703855786		16.93245163896019	15.514822942953908	16.459171884182854	15.39887578720389			16.143274809810958		14.813981762147053	16.011793891201933	15.003703418526735		16.20261300003812		14.78205517287806	15.745027327929144	15.013149551106148	15.49536983798334	14.925972573566373		17.45370279035346		14.992444999434746
ABRACL	18.38377925894704	14.181946315822705		19.835723306048735	17.277939095064223	19.702999765082787	16.165259560804948	15.530110769580823	19.14025217422006	17.369761894513832	14.172311402012332	14.91249950915677	14.687646014410285	14.1975686734683	16.184795267046947	16.408909994236915	13.573290841779572		17.34026716394455	18.471409501692193	16.063537367392335	14.821896029483181	18.116531070824294	18.511685425389256	14.604320816109892	17.13853884869655	14.486171877936286	14.653016521491494	17.93766321361926	15.694092202316257	16.856598156841315	17.844859667814482	18.593660829625623	14.18320733218233	18.449715128361653	15.430451426429457	15.384211100771807	15.944302354030452	16.69964399009253	18.69882750250133	19.278335229072223	14.51251482893224		14.603641838239493	18.449278987769993
ABRAXAS2	14.977743121650951	13.564380587076919	13.072771525158911	14.724972321508668	14.145062472123609	16.302286373414482	14.280996910576794	14.479687845996153	14.554766889916156	14.020860595445884	14.410482710599947	14.556623714628854	14.42407908043368	14.526594257375725	14.599482480468605	15.071197542621546	14.574659194828508		14.324053483943425	14.904468019918657	14.209699987655952	15.080690297778757	14.286432525768271	14.085437393752429	14.14107706994874	15.717918999561173	13.906204401105603	15.588736268699162	15.39975000909884	14.358623957992828	14.277948149594415	14.301437615699557	14.735764459219403	14.68041712074676	15.345985875343866	14.97543924966241	13.936559955439801	15.104008514574286	15.299790873469645	14.699589101398296	12.624396929633711	15.37341882257238	14.142161808990187	15.497052811887576	15.521981767979415
ACAA1	17.19160095109627	15.204730046947295	16.960580980625192	17.410283652231588	18.431736380902567	17.529832173557057	16.81943924464362	16.4387996307867	16.523160851051284	16.042729690193532	15.627768943380808	17.1293522169054	16.00249691683868	16.366399556613175	16.715327868094835	15.89329407010364	15.672833820077217		16.320445151703026	15.545452301729245	16.25552662357068	16.514033283730296	17.866848632881922	15.296319240162815	15.336608616336106	16.99631239111195	15.639743056569863	16.050186397306774	17.990995369255366	16.510635246829004	16.778656016279967	18.05677712098778	17.994216303303077	16.701129573136125	15.68833442546268	16.149593526080732	16.1345146999818	16.78641917255126	16.59610405630686	15.920429310867473	17.060695896086806	15.994532360668787	15.910314173607732	16.12601746162435	16.704262593476784
ACAA2	19.3835773127271	15.06370941613491	16.52629602206781	18.525477039179695	19.30697771316678	16.596879625974964	18.048932744009452	17.13641639698659	18.247395530961874	18.438610938085084	16.943810361032796	17.990115750037283	17.774808709642954	17.114947667810746	17.185752624033142	18.31798644120228	16.146089982552375		18.096666270230852	17.947036183318225	18.362457318444207	16.253825932963366	19.179677179574508	18.251965260601583	20.128896521545492	18.81180122539107	17.947406278606138	18.19794632435458	20.128402512538976	17.344090016239804	17.97356441279568	19.696192214463697	19.346348056743647	16.443883735338577	16.768255635532793	18.289750402966007	18.961535685375626	18.46049701125585	17.27698280809723	18.524153429739073	18.721455995454996	17.696383342647483		17.578006783265817	18.222455637926274
ACACA		18.898178379120825	18.855155803918535	13.205397575192919	14.676653660762181		12.414097945804393	12.719395818407449	14.318024131061506	14.508943803417083	13.375706933138506	11.85978165929694	14.15508346646166	15.443928888042635	12.88086023433453	12.493918233334103	15.320458214528184	13.322724999292998	13.475481561190414	12.860643033250605	13.994851876383452	13.271930926606512	14.325329032945849	14.054161702501993	13.01972505586723	15.246337627281392	13.930059601592937	13.71528341393572	14.950812652948283	13.655384169609585	14.604025306923583	14.72059671921936	16.300889348618497	13.128835104916444	13.939481966517631	16.33213051882594	13.583065398041791	13.596661227506804	15.395775339860656	14.989940753176882	16.991966149164917	16.179073356173603	13.122645576866605	13.444694631909488	14.972140984418909
ACAD8			16.675614798087782	15.154485738642812	15.506722613464499	14.549934627733261	15.482627396120105		14.401507733096006	14.795430965973894	15.73476923065019	16.394072754820318	16.07734751014213	15.12082024294736	14.785748526463617	15.471789113381355	16.15770183726445			13.394928170216787	16.190107058757487	14.719989807679504	14.781040421391321	14.932265278991485	16.007937434173506	15.059282393338858	14.917635594620865	16.05866268354602	15.477737393607105	14.204334256792535	15.632592393873884	15.114331661076012	16.688396945374752	16.594802093595625	13.916578530642836	15.762534700259	14.935047707183658	15.70226852685076	15.399118043495438	16.052803922505117	17.72994189739251	16.52834849652327		16.269539790467086	14.529346692693881
